No.,チャプター名,トピック名,単語,読み方,意味,例文,関連漢字,注意,TICK
125,1章,人間,嫌う,Na,Na,"不誠実な人を嫌う。
彼は皿洗いをひどく嫌っている。",Na,"～憎む・恨む・嫌う
機嫌が悪い",Na
126,1章,人間,嫌がる,Na,Na,彼女は学校へ行くのを嫌がる。,Na,～憎む・恨む・嫌う・嫌がる,Na
127,1章,人間,敬意を持つ,Na,Na,年長者には敬意を持つべきだ。,"敬語・敬う
意志",Na,Na
128,1章,人間,敬意を払う,Na,Na,年長者には敬意を払うべきだ。,"敬語・敬う
意志",Na,Na
129,1章,人間,あこがれる,Na,Na,"名声にあこがれる。
都会生活にあこがれる。",Na,Na,Na
130,1章,人間,恩,Na,Na,"人に恩を感じる。
私の頼みを断るとは彼は恩を知らないやつ。",Na,Na,Na
131,1章,人間,失望する,Na,Na,彼女が試験に落ちたことを聞いて私は大変失望した。,Na,～がっかりする。,Na
132,1章,人間,うらやましい,Na,Na,"「新婚旅行はどちらへ」
「ヨーロッパに3週間よ」
「うらやましい」
うらやましいほど美しい女性。",Na,人をうらやむ,Na
133,1章,人間,憎い,Na,Na,"不正を許す社会が憎いです。
犯人が憎いです。",Na,～憎む・憎い・恨む・嫌う,Na
134,1章,人間,憎らしい,Na,Na,私を捨てたあの人が憎らしい。,Na,～憎む・憎い・恨む・嫌う,Na
135,1章,人間,哀れ,Na,Na,その悲しい話はみんなの哀れを誘った。,Na,～気の毒・かわいそう,Na
136,1章,人間,気の毒,Na,Na,彼が両親を事故で亡くしたなんて本当に気の毒だ。,Na,～哀れ・かわいそう,Na
137,1章,人間,申し訳ない,Na,Na,"実に申し訳ない間違いをしてしまいました。
世間に対して申し訳ない気持ちで一杯だ。","申し込む・申請
翻訳・言い訳",～済まない,Na
138,1章,人間,済まない,Na,Na,彼には済まないことをした。,宿題が済む・経済,～申し訳ない,Na
139,1章,人間,ありがたい,Na,Na,"それはありがたい経験だ。（めったに～ない）
ありがたいことに、雨が止んだ。（ラッキー）
ご確認いただけると、ありがたいです",Na,ありがとう,Na
140,1章,人間,慰める,Na,Na,"恋人に振られた友人を慰めた。
音楽に慰められる。",Na,Na,Na
141,1章,人間,けなす,Na,Na,他人の作品をけなす。,Na,Na,Na
142,1章,人間,ののしる,Na,Na,彼女は夫の無能力をののしった。,Na,Na,Na
143,1章,人間,にらむ,Na,Na,彼は少年を怖い目でにらんだ。,Na,～鋭い目をつける。,Na
144,1章,人間,避ける,Na,Na,"彼は私を避けているみたいだ。
雪による列車の遅れは避けられない。",避ける・避難訓練,Na,Na
145,1章,人間,助言する,Na,Na,"医者の助言に従ってたばこををやめた。
彼はそこへ行かないよう助言してくれた。",助ける・ 助詞,～アドバイスをする,Na
146,1章,人間,忠告する,Na,Na,医者は彼に酒量を減らすように忠告された。,"忠告
報告・春を告げる",～ アドバイスする・助言する,Na
147,1章,人間,言いつける,Na,Na,そんなことをすると、先生に言いつけるぞ。,言葉・言い方・言語・伝言,～告げ口をする,Na
148,1章,人間,皮肉を言う,Na,Na,"彼の言葉は皮肉たっぷりだった。
皮肉を言う。","皮をむく＃肌
牛肉",Na,Na
149,1章,人間,ぶつぶつ,Na,Na,陰でぶつぶつ文句ばかり言っている。,いちいち,Na,Na
